20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_irontiger_trendmicro.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ism_rat.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_kaspersky_duqu2.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ke3chang.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_keyboys.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_keylogger_cn.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_khrat.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_korplug_fast.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_kwampirs.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_laudanum_webshells.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_applejeus.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_aug20.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_dec17.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_dec20.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_gopuram.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_jan21.yar
20241008T16:37:20Z DESKTOP-IOIFK03 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_jun18.yar
